id,flight_number,name,date_lisbon,date_local,success,details,rocket,launchpad,core_0_id,core_0_flight,core_0_reused,core_0_landing_attempt,core_0_landing_success,core_0_landing_type,payload_0_id,failure_0_time,failure_0_altitude,failure_0_reason,fairings_reused,fairings_recovery_attempt,fairings_recovered,patch_small,patch_large,webcast,article,wikipedia,static_hash
5eb87cd9ffd86e000604b32a,1,FalconSat,2006-03-24T22:30:00+00:00,2006-03-25T10:30:00+12:00,False,Engine failure at 33 seconds and loss of vehicle,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5e9e289df35918033d3b2623,1,False,False,,,5eb0e4b5b6c3bb0006eeb1e1,33,,merlin engine failure,False,False,False,https://images2.imgbox.com/94/f2/NN6Ph45r_o.png,https://images2.imgbox.com/5b/02/QcxHUb5V_o.png,https://www.youtube.com/watch?v=0a_00nJ_Y88,https://www.space.com/2196-spacex-inaugural-falcon-1-rocket-lost-launch.html,https://en.wikipedia.org/wiki/DemoSat,42a590ec1e3c4771c3e97990db6af113
5eb87cdaffd86e000604b32b,2,DemoSat,2007-03-21T01:10:00+00:00,2007-03-21T13:10:00+12:00,False,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5e9e289ef35918416a3b2624,1,False,False,,,5eb0e4b6b6c3bb0006eeb1e2,301,289,harmonic oscillation leading to premature engine shutdown,False,False,False,https://images2.imgbox.com/f9/4a/ZboXReNb_o.png,https://images2.imgbox.com/80/a2/bkWotCIS_o.png,https://www.youtube.com/watch?v=Lk4zQ2wP-Nc,https://www.space.com/3590-spacex-falcon-1-rocket-fails-reach-orbit.html,https://en.wikipedia.org/wiki/DemoSat,00fd197d293666a79bb05ebea9ae74bf
5eb87cdbffd86e000604b32c,3,Trailblazer,2008-08-03T04:34:00+01:00,2008-08-03T15:34:00+12:00,False,Residual stage 1 thrust led to collision between stage 1 and stage 2,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5e9e289ef3591814873b2625,1,False,False,,,5eb0e4b6b6c3bb0006eeb1e3,140,35,residual stage-1 thrust led to collision between stage 1 and stage 2,False,False,False,https://images2.imgbox.com/6c/cb/na1tzhHs_o.png,https://images2.imgbox.com/4a/80/k1oAkY0k_o.png,https://www.youtube.com/watch?v=v0w9p3U8860,http://www.spacex.com/news/2013/02/11/falcon-1-flight-3-mission-summary,https://en.wikipedia.org/wiki/Trailblazer_(satellite),12c4355acbc421b41134ce01e48a8983
5eb87cdbffd86e000604b32d,4,RatSat,2008-09-29T00:15:00+01:00,2008-09-28T11:15:00+12:00,True,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5e9e289ef3591855dc3b2626,1,False,False,,,5eb0e4b7b6c3bb0006eeb1e5,,,,False,False,False,https://images2.imgbox.com/95/39/sRqN7rsv_o.png,https://images2.imgbox.com/a3/99/qswRYzE8_o.png,https://www.youtube.com/watch?v=dLQ2tZEH6G0,https://en.wikipedia.org/wiki/Ratsat,https://en.wikipedia.org/wiki/Ratsat,bc0b4890f795429daf84a9e1f40683ac
5eb87cdcffd86e000604b32e,5,RazakSat,2009-07-13T04:35:00+01:00,2009-07-13T15:35:00+12:00,True,,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5e9e289ef359184f103b2627,1,False,False,,,5eb0e4b7b6c3bb0006eeb1e6,,,,False,False,False,https://images2.imgbox.com/ab/5a/Pequxd5d_o.png,https://images2.imgbox.com/92/e4/7Cf6MLY0_o.png,https://www.youtube.com/watch?v=yTaIDooc8Og,http://www.spacex.com/news/2013/02/12/falcon-1-flight-5,https://en.wikipedia.org/wiki/RazakSAT,1e8ede4b828b7af4d2166af781d19d65
5eb87cddffd86e000604b32f,6,Falcon 9 Test Flight,2010-06-04T19:45:00+01:00,2010-06-04T14:45:00-04:00,True,,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,5e9e289ef359185f2b3b2628,1,False,False,,,5eb0e4b7b6c3bb0006eeb1e7,,,,,,,https://images2.imgbox.com/73/7f/u7BKqv2C_o.png,https://images2.imgbox.com/66/b4/8KZsjbt4_o.png,https://www.youtube.com/watch?v=nxSxgBKlYws,http://www.spacex.com/news/2013/02/12/falcon-9-flight-1,https://en.wikipedia.org/wiki/Dragon_Spacecraft_Qualification_Unit,554382fadaaa823e0502d137ff909bcd
5eb87cdeffd86e000604b330,7,COTS 1,2010-12-08T15:43:00+00:00,2010-12-08T11:43:00-04:00,True,,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,5e9e289ef35918187c3b2629,1,False,False,,,5eb0e4b9b6c3bb0006eeb1e8,,,,,,,https://images2.imgbox.com/fa/dc/FOUDQ0Sn_o.png,https://images2.imgbox.com/04/6e/kniggvWD_o.png,https://www.youtube.com/watch?v=cdLITgWKe_0,https://en.wikipedia.org/wiki/SpaceX_COTS_Demo_Flight_1,https://en.wikipedia.org/wiki/SpaceX_COTS_Demo_Flight_1,5f3bf5bb75aa5ac2980f53abe303a9b7
5eb87cdfffd86e000604b331,8,COTS 2,2012-05-22T08:44:00+01:00,2012-05-22T03:44:00-04:00,True,"Launch was scrubbed on first attempt, second launch attempt was successful",5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,5e9e289ef35918f39c3b262a,1,False,False,,,5eb0e4bab6c3bb0006eeb1ea,,,,,,,https://images2.imgbox.com/c5/f4/XfLVgbaO_o.png,https://images2.imgbox.com/94/8d/YnZ1SLsT_o.png,https://www.youtube.com/watch?v=tpQzDbAY7yI,https://en.wikipedia.org/wiki/Dragon_C2%2B,https://en.wikipedia.org/wiki/Dragon_C2%2B,d90b3e1444e95f941d981a845b8c9bae
5eb87ce0ffd86e000604b332,9,CRS-1,2012-10-08T01:35:00+01:00,2012-10-08T20:35:00-04:00,True,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,5e9e289ff3591821a73b262b,1,False,False,,,5eb0e4bab6c3bb0006eeb1eb,,,,,,,https://images2.imgbox.com/3e/91/hlGiK49a_o.png,https://images2.imgbox.com/fb/42/0V9JgYQS_o.png,https://www.youtube.com/watch?v=-Vk3hiV_zXU,https://www.nasa.gov/mission_pages/station/main/spacex-crs1-target.html,https://en.wikipedia.org/wiki/SpaceX_CRS-1,317211b2014afec8111a247290dc0493
5eb87ce1ffd86e000604b333,10,CRS-2,2013-03-01T19:10:00+00:00,2013-03-01T15:10:00-04:00,True,Last launch of the original Falcon 9 v1.0 launch vehicle,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,5e9e289ff3591884e03b262c,1,False,False,,,5eb0e4bbb6c3bb0006eeb1ed,,,,,,,https://images2.imgbox.com/bd/fe/lXUYKL28_o.png,https://images2.imgbox.com/bc/c5/fHN3m8KV_o.png,https://www.youtube.com/watch?v=ik0ElKl5kW4,https://en.wikipedia.org/wiki/SpaceX_CRS-2,https://en.wikipedia.org/wiki/SpaceX_CRS-2,ef14c3762a66cf660e02c2879a6e79dd
